epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6158,1.20399,1.71883,2.37738,1.0515,0.58127,0.32684,0.36229,0.2291,0.56605,0.30198,0.32787,0.15195,1.06732,1.28634,1.28317,0.97209,0.000332031,0.000332031,0.000332031
2,76.884,1.09056,1.36795,1.51931,0.99145,0.45163,0.39383,0.39951,0.25636,0.39482,0.3601,0.34456,0.16989,1.03262,1.31613,1.1927,0.95945,0.000658777,0.000658777,0.000658777
3,111.693,1.0524,1.30943,1.36342,0.97576,0.39299,0.46984,0.43481,0.30303,0.34052,0.41244,0.36383,0.18771,1.00559,1.31956,1.15511,0.9572,0.000978924,0.000978924,0.000978924
4,146.371,1.03891,1.24748,1.29202,0.97467,0.4769,0.52686,0.4724,0.30772,0.45745,0.4627,0.41812,0.21508,1.007,1.18909,1.05498,0.95869,0.0009703,0.0009703,0.0009703
5,179.974,1.02834,1.23462,1.20365,0.97377,0.53355,0.48522,0.47784,0.32151,0.44791,0.42794,0.41596,0.22497,1.03786,1.21085,1.06213,0.96951,0.0009604,0.0009604,0.0009604
6,213.608,0.97587,1.19107,1.12075,0.95518,0.48169,0.53889,0.48711,0.33011,0.41762,0.44815,0.42011,0.22123,1.01905,1.20404,1.04855,0.96944,0.0009505,0.0009505,0.0009505
7,247.704,0.98504,1.13583,1.08877,0.96135,0.62394,0.50524,0.55151,0.37428,0.58798,0.48626,0.51663,0.26665,0.96143,1.11856,0.96773,0.95354,0.0009406,0.0009406,0.0009406
8,282.061,0.96792,1.13928,1.059,0.95819,0.58708,0.56166,0.57709,0.39061,0.61702,0.47156,0.52401,0.25857,0.95429,1.16139,0.95609,0.94817,0.0009307,0.0009307,0.0009307
9,316.158,0.9404,1.10529,1.00538,0.94606,0.7049,0.53751,0.61885,0.4368,0.60021,0.51882,0.54323,0.26796,0.93302,1.14191,0.91926,0.93971,0.0009208,0.0009208,0.0009208
10,349.941,0.9494,1.11425,0.97448,0.95067,0.59265,0.49041,0.56083,0.38629,0.66381,0.42158,0.49715,0.27009,0.96197,1.11878,0.90574,0.94705,0.0009109,0.0009109,0.0009109
11,382.643,0.91613,1.0871,0.9239,0.94474,0.53645,0.61413,0.60728,0.41296,0.56083,0.49727,0.52229,0.27868,0.94187,1.12481,0.89067,0.94256,0.000901,0.000901,0.000901
12,415.848,0.90843,1.07924,0.91271,0.94001,0.65601,0.52591,0.5931,0.40941,0.67553,0.43627,0.49451,0.2926,0.90713,1.09315,0.87726,0.9298,0.0008911,0.0008911,0.0008911
13,448.653,0.91921,1.09816,0.92814,0.95068,0.67095,0.55044,0.62373,0.40742,0.5683,0.51142,0.55356,0.28137,0.9316,1.10436,0.84993,0.94102,0.0008812,0.0008812,0.0008812
14,481.224,0.8877,1.06408,0.86056,0.93827,0.70898,0.58711,0.65066,0.45049,0.64516,0.52707,0.53302,0.3024,0.8954,1.0832,0.8472,0.92156,0.0008713,0.0008713,0.0008713
15,514.293,0.88118,1.05845,0.84356,0.93679,0.67,0.57502,0.63525,0.43416,0.63596,0.53925,0.56382,0.31315,0.89378,1.08637,0.84672,0.92414,0.0008614,0.0008614,0.0008614
16,547.407,0.88546,1.0777,0.85461,0.9373,0.6383,0.67036,0.68743,0.48096,0.58633,0.63022,0.5984,0.35104,0.89344,1.03113,0.83911,0.92787,0.0008515,0.0008515,0.0008515
17,580.411,0.88135,1.02043,0.83724,0.94497,0.74388,0.57795,0.66246,0.46204,0.71149,0.55138,0.62459,0.32605,0.89846,1.02809,0.86456,0.9303,0.0008416,0.0008416,0.0008416
18,614.379,0.85919,1.0314,0.81123,0.92047,0.65138,0.55834,0.61103,0.4219,0.59035,0.49396,0.51828,0.28653,0.88284,1.06973,0.8318,0.92271,0.0008317,0.0008317,0.0008317
19,648.353,0.86244,1.02142,0.82089,0.93119,0.73232,0.60361,0.71638,0.50631,0.63107,0.61258,0.63739,0.3882,0.88348,1.00073,0.79913,0.92541,0.0008218,0.0008218,0.0008218
20,682.703,0.86418,1.00896,0.80101,0.93511,0.63727,0.62684,0.68936,0.47557,0.63847,0.54964,0.62099,0.36401,0.85977,1.08658,0.78377,0.91793,0.0008119,0.0008119,0.0008119
21,716.892,0.84406,0.99084,0.76809,0.92177,0.66138,0.62721,0.67687,0.49435,0.75683,0.51305,0.62864,0.38267,0.85051,1.03224,0.78945,0.91417,0.000802,0.000802,0.000802
22,751.147,0.85638,1.0075,0.77866,0.92505,0.67538,0.68905,0.70332,0.47852,0.73599,0.53015,0.62161,0.38008,0.8711,1.02756,0.77807,0.91894,0.0007921,0.0007921,0.0007921
23,785.287,0.84348,1.02366,0.77716,0.92921,0.70468,0.68729,0.71231,0.50511,0.63325,0.5994,0.63569,0.35011,0.85938,1.03233,0.80922,0.91681,0.0007822,0.0007822,0.0007822
24,819.308,0.84194,0.98523,0.77388,0.92132,0.71204,0.62752,0.68817,0.47496,0.67622,0.58346,0.62407,0.33934,0.8548,1.02667,0.79697,0.92291,0.0007723,0.0007723,0.0007723
25,853.311,0.83273,0.98707,0.75575,0.92297,0.78811,0.62296,0.73909,0.51892,0.73741,0.57254,0.6576,0.40019,0.85815,1.03561,0.77794,0.91724,0.0007624,0.0007624,0.0007624
26,887.264,0.81643,0.97292,0.72643,0.91611,0.69121,0.60485,0.68064,0.47461,0.58171,0.57486,0.56574,0.31778,0.8686,1.06202,0.82029,0.92477,0.0007525,0.0007525,0.0007525
27,921.371,0.80944,0.95408,0.72096,0.91218,0.73211,0.62392,0.69193,0.50137,0.58986,0.59494,0.59103,0.34113,0.84939,1.03104,0.77349,0.91614,0.0007426,0.0007426,0.0007426
